Experiment name,Biological sample category,Biological sample name,MS/MS sample name,Cluster,Protein name,Protein accession numbers,Alternate IDs,Database sources,Protein molecular weight (Da),Protein identification probability,Exclusive unique peptide count,Exclusive unique spectrum count,Total spectrum count,Percentage of total spectra,Percentage sequence coverage,Length
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Proteasome subunit alpha type-5 OS=Homo sapiens OX=9606 GN=PSMA5 PE=1 SV=3 (P28066),Proteasome subunit alpha type-5 OS=Homo sapiens OX=9606 GN=PSMA5 PE=1 SV=3,P28066,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"26,411.30",99.60%,1,1,2,0.00%,4.98%,241
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Heat shock-related 70 kDa protein 2 OS=Homo sapiens OX=9606 GN=HSPA2 PE=1 SV=1 (P54652),Heat shock 70 kDa protein 1-like OS=Homo sapiens OX=9606 GN=HSPA1L PE=1 SV=2,P34931,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"70,377.10",100.00%,3,4,38,0.04%,17.60%,641
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1 (P68104),Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1,P68104,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"50,141.20",100.00%,6,8,32,0.03%,21.60%,462
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Inorganic pyrophosphatase OS=Homo sapiens OX=9606 GN=PPA1 PE=1 SV=2 (Q15181),Inorganic pyrophosphatase OS=Homo sapiens OX=9606 GN=PPA1 PE=1 SV=2,Q15181,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"32,660.60",99.70%,1,1,2,0.00%,4.84%,289
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),"Cluster of Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3 (P35527)","Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",P35527,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"62,065.90",100.00%,5,5,8,0.01%,9.15%,623
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),"Cluster of Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6 (P04264)","Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3",P13647,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"62,379.60",57.30%,0,0,1,0.00%,2.03%,590
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),"Cluster of Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6 (P13645)","Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",P13645,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"58,828.80",100.00%,4,4,6,0.01%,12.00%,584
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of ADP-ribosylation factor 4 OS=Homo sapiens OX=9606 GN=ARF4 PE=1 SV=3 (P18085),ADP-ribosylation factor 4 OS=Homo sapiens OX=9606 GN=ARF4 PE=1 SV=3,P18085,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"20,511.60",99.60%,1,1,1,0.00%,5.56%,180
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Ribulose-phosphate 3-epimerase OS=Homo sapiens OX=9606 GN=RPE PE=1 SV=1 (Q96AT9),Ribulose-phosphate 3-epimerase OS=Homo sapiens OX=9606 GN=RPE PE=1 SV=1,Q96AT9,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"24,927.80",100.00%,4,4,5,0.00%,9.21%,228
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),"Cluster of Glyceraldehyde-3-phosphate dehydrogenase, testis-specific OS=Homo sapiens OX=9606 GN=GAPDHS PE=1 SV=2 (O14556)","Glyceraldehyde-3-phosphate dehydrogenase, testis-specific OS=Homo sapiens OX=9606 GN=GAPDHS PE=1 SV=2",O14556,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"44,500.50",100.00%,3,9,42,0.04%,9.07%,408
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Nucleoside diphosphate kinase 3 OS=Homo sapiens OX=9606 GN=NME3 PE=1 SV=2 (Q13232),Nucleoside diphosphate kinase 3 OS=Homo sapiens OX=9606 GN=NME3 PE=1 SV=2,Q13232,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"19,015.20",100.00%,2,2,2,0.00%,7.10%,169
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),"Cluster of Probable histidine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=HARS2 PE=1 SV=1 (P49590)","Probable histidine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=HARS2 PE=1 SV=1",P49590,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"56,889.60",100.00%,1,1,2,0.00%,3.56%,506
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4 (P13639),Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,P13639,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"95,340.10",100.00%,4,6,17,0.02%,4.55%,858
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Phosphoglycerate kinase 2 OS=Homo sapiens OX=9606 GN=PGK2 PE=1 SV=3 (P07205),Phosphoglycerate kinase 2 OS=Homo sapiens OX=9606 GN=PGK2 PE=1 SV=3,P07205,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"44,797.10",99.90%,1,1,3,0.00%,6.00%,417
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of 60S ribosomal protein L23 OS=Homo sapiens OX=9606 GN=RPL23 PE=1 SV=1 (P62829),60S ribosomal protein L23 OS=Homo sapiens OX=9606 GN=RPL23 PE=1 SV=1,P62829,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"14,865.90",98.60%,1,1,4,0.00%,5.71%,140
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3 (P62826),GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3,P62826,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"24,423.10",100.00%,11,11,13,0.01%,26.40%,216
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4 (P08238),Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1,P14625,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"92,471.70",95.80%,0,0,8,0.01%,1.99%,803
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),"Cluster of Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1 (P63261)",Putative beta-actin-like protein 3 OS=Homo sapiens OX=9606 GN=POTEKP PE=5 SV=1,Q9BYX7,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"42,017.20",90.60%,0,0,10,0.01%,10.10%,375
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4 (P08238),Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,P07900,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"84,663.20",75.50%,0,0,2,0.00%,3.28%,732
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),"Cluster of Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1 (P24752)","Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1",P24752,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"45,199.80",99.60%,1,1,1,0.00%,3.04%,427
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),"Cluster of Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=DLD PE=1 SV=2 (P09622)","Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=DLD PE=1 SV=2",P09622,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"54,177.50",99.60%,1,1,1,0.00%,2.75%,509
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Ras-related protein Rab-7a OS=Homo sapiens OX=9606 GN=RAB7A PE=1 SV=1 (P51149),Ras-related protein Rab-7a OS=Homo sapiens OX=9606 GN=RAB7A PE=1 SV=1,P51149,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"23,490.00",100.00%,2,2,2,0.00%,10.10%,207
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Heat shock-related 70 kDa protein 2 OS=Homo sapiens OX=9606 GN=HSPA2 PE=1 SV=1 (P54652),Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,P11142,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"70,899.80",100.00%,6,9,50,0.05%,20.40%,646
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Heat shock-related 70 kDa protein 2 OS=Homo sapiens OX=9606 GN=HSPA2 PE=1 SV=1 (P54652),Heat shock 70 kDa protein 6 OS=Homo sapiens OX=9606 GN=HSPA6 PE=1 SV=2,P17066,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"71,028.80",87.60%,0,0,38,0.04%,17.10%,643
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Tenascin-X OS=Homo sapiens OX=9606 GN=TNXB PE=1 SV=4 (P22105),Tenascin-X OS=Homo sapiens OX=9606 GN=TNXB PE=1 SV=4,P22105,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"458,202.40",100.00%,2,3,3,0.00%,0.28%,4242
